Review Name,Review Text
Tomas Netrval,"Music was too loud, couldn�t enjoy our conversation. The chicken was also over-spiced."
Leonardo Picarelli,The place tries too hard to be trendy but fails in delivering basic dining comfort.
Katie Horsfield,Really fantastic Lebanese food. Relaxed and friendly vibe.
Tom S,"Service slow and not particularly friendly, food expensive for what it is - clay pot baked rice chicken was basically grilled chicken over microwaved rice. Poor show - expected a lot more given the positive effects reviews. Better places around"
Khalil Murad,Service is very good. Staff very friendly. Setting/Atmosphere is very pleasant. Compared to other Lebanese restaurants food is ok. The beef kebab needs an upgrade.
Tetiana Leshchuk,"The food and atmosphere and service is AMAZING. Try mousakhan djej, these chicken rolls are the best!"
Omar Kheir,"Disappointing falafel wrap, tasted stale. Also, the restaurant was too loud to have a conversation."
Vasileios Vlachakis,"Ordered traditional Lebanese sweets, but they lacked authenticity and were too sugary."
Mohamad El Ghali,"Place is a great place to dine at. It has a good variety of food, from lebanese food such as batata 7ara, fatoush, tabouleh, mashewe, etc. To burgers and fries. The ambience there is great. There are book shelves everywhere which makes you think that this is a library not a restuarant. They have an upper floor used for meetings/reading if you're into this. Back to the food, its actually not bad at all. Batata 7arra is my favorite, and so I do recommend this place if you want some lebanese food in a quite environment"
Fadi Al Kfouf,"Over-crowded apartment-like small place, too noisy as the tables are one feet far from each others, food is not even good (me no like), and the staff are not helpful and uncooperative, our order was not server correctly and no one could help, prices are very high comparing to the seating and what is served. I apologize for the bad rating but you need to fix it."
Jordi Casas,"Tasty food and nice service, authentic Lebanese food."
Salah Zoghaib,Fresh food by excellence. Restaurant of leftist and progressive people. Affordable prices.
AbdulRahim Hannawi,Meat shawarma could be much better other plates we had was good
Maria R,Great food with very nice atmosphere and music. The service is quick and the waiters very friendly. Also very generous dishes with inexpensive prices.
M AA,"Excellent restaurant and good ambiance, must visit place if you are staying near hamra street"
Justyna,"Very nice place with delicious food and good price. We ordered kibbeh with eggplant, walnuts and pomegranate,  mjadarrah and safran cake. Everything Was amazing! Really helpful and nice service but it's too much loud inside."
Yury Gich,"The restaurant was too noisy, with the kitchen sounds overpowering the dining area."
Adam Karaki,great place in the heart of hamra to just sit and chill and enjoy a bite to eat.
Ahmad N,pretty cozy place with tasty dishes it's just the staff is a little bit slow
hamzeh smadi,"Nice atmosphere but not for families
Appetizers are awesome
Tried it two times both were excellent"
Nour Alam,"Excellent food, lovely ambiance, fair prices"
Marwan Ayache,"Good meza, but it's hard to find a place in Lebanon that doesn't have that. Otherwise, it's a nicely central (in Hamra), and even has a outdoor garden that puts you in that cozy village vibe."
maan nasreddine,The beef shawarma was tough and flavorless. Expected better in Beirut.
Robyn Huang,"This place is super cute with delicious mezza plates. All the dishes were huge portions. It was lovely sitting on the patio, but the inside is nicely decorated as well. The wait staff is super patient with explaining the lengthy menu and making suggestions."
Christelle Rabil,"Poorly managed, with staff members arguing in front of customers. The mezze platter was mediocre at best."
John Erwin,Great food.  Location in a mini mall in Hamra
Emad Karim,Delicious Lebanese food and great staff. Located in the heart of Hamara with indoor and outdoor sections.The Resturant is usually busy so better make a reservation before heading out there. Weekends are more busy than weekdays.
Önder Uzun,"Music was too loud, overshadowing the dining experience. The falafel was greasy and heavy."
Shant Kerbabian,"The restaurant was overcrowded, making it uncomfortable. The kefta was more filler than meat."
Layal The Guide,"Best of the best lebanese restaurants located in hamra, prices are so affordable, any one must try it, most of there food is served with debs el remmen which is very tasty"
Jihan Masri,The restaurant was smoky and uncomfortable for non-smokers. The garlic sauce was too overpowering.
Zeina Banna,"Amazing food, friendly staff, and a nice place!!

Best lebanese food I've ever had😋😋"
Amani Nahas,Felt rushed through our meal because of the crowd. The kebbe was also overcooked.
Alex Habr,"Good traditional Lebanese and Syrian dishes, big portions, great service and atmosphere"
L K,I went where two times. Great
Sahar El Choufi,"One of the best Lebanese restaurants in Beirut, highly recommend if you are in Hamra area."
Mazen Safwat,"best food ever and friendly staff ,  great atmosphere"
Alain Shab,"Excellent place for Lebanese cuisine. Keep coming back over and over. Price/quantity and quality food is excellent. Recommended batata harra, hindbeh, kebbeh banadoura, fattoush and many more dishes. Must try restaurant."
Naji hy,A good place to meet a friend and eating some traditional food which is fattah
Marcel Rached,Great Mediterranean food. Welcoming staff and pleasant atmosphere.
Saab Shmait,"🔹Rating: 4/5
🔹Experience: A very nice and cozy space in the heart if hamra. Place is not exposed to hamra main street, so its not a noisy place, decoration is simple, outdoor area is nice. Staff was very friendly and helpful and service was very fast.
🔹Food: Menu is pure Lebanese, affordable and diverse. Quantities are quite enough. We ordered the following:
-Fatouch; was good but rocca is not my favorite in fatouch. It gives a bitter taste and doesn’t suits it.
-Shawarma lahme; tasted very good. Meat was tender and tasty.
-Mixed grill: Tasted very good as well. But the meat quantity was too little.
-Half grilled chicken: Was very tasty . Chicken was tender and still juicy.

Experience was very good . Place is highly recommended. 👍👍👍👍"
Pilar Sanchez Alañon,A very nice place to drink or dinner something. The staff very friendly.
Alain Aouad,Nice food and authentic local ambiance
Susana M,"Great place for Lebanese food, reasonably priced. Buzzy atmosphere and casual. Had the tabbouleh which was amazing. Only reason why I gave it 3 star is because I think my main was ok. Ordered the clay pot rice with meat. Think if I had other mezze/grilled foods it would have been better."
Leslie,"Love their fattouch!!!
staff is very friendly too. very cosy place
coming back soon"
Muhammad yusif Hajar,"Highly recommended
Great customer service
Definitely revisit this place"
Tala Turk,I love it. Delicious lebanese food for very affordable prices. Highly recommended 😁 …
Sophie Bathish,"Delicious food with an outdoor seating where people can chat, play games and enjoy a drink"
Mohamad Kaimouz,"Service was rude, especially to tourists. They seemed to prioritize locals over visitors."
Sacco Dermoussissian,"Tables were too close to each other, making it an uncomfortable dining experience."
barrak naamani,nice place in middle of hamra. nice garden good food & good value for money as well. service could be much better.
MN AL,Very crowded almost all the time. Food is normal. It is allowed to smoke inside so I would not advise you to go there if you don't. Actually there is nothing special there at all but the expensive prices and the very noisy environment. Wouldn't go there again unless extremely necessary.
Daniel Auger,"Excellent service , excellent food, beautiful vibe ... a place to drink, eat , socialize ...
Keep it up !"
Rami Showno,"You can't visit Lebanon without visiting Place, the Oriental food is amazing especially the ""potato with coriander"". You will enjoy every bite.
The service is Great and the staff is very well trained."
Valery Legasov,Beautiful Lebanese food and vegetarian daily dish
Aluisio Barros,"I have now been to T a few times. And I can say it is my favorite place in downtown. It has a large variety of dishes, everything is at least very good. The place is cozy, the service is friendly, and the prices are good. They even have what I wish all restaurants had - a side of mixed mezze including tabbouleh, hommus and the spicy coriander potatoes. For an often solo traveler like me, that give the opportunity of tasting several flavors without paying too much or wasting food. Last time I had this kibbeh mloukhieh - it's absolutely delicious. Add to all this good wine by the glass. Have I convinced you? :)))"
Hussam Ghaleb,"For me, this is a place a go to everytime I visit Beirut. Food is tasty, service is good, and the place has an identity"
Mohamed Abd El Wahed,"Best Lebanese food restaurant, reasonable prices, very friendly staff."
Christopher Butler,"Nice environment, great food! Not so great service..."
Robin Lindblom,"Love this place, a must if you're in the area. A true lebanese resturant. 👌 …"
Rami Massoud,"The bathrooms were filthy, and it reflected the overall lack of cleanliness in the restaurant."
Ali Hammoud,Mint lemonade was too sweet and artificial tasting. Not refreshing as hoped.
Imad Slailaty,Had to constantly ask for water refills. The place lacked attentive service.
Jairus Onsafari,"Great Lebanese restaurant in Hamra. Creative menu, generous portions, good price, lovely clientele and great service. Worth a try"
Simon Wright,"Food was awful and the service slow and unfriendly. I had kibbe with yoghurt and it was heavy, claggy and not nice at all. The coriander potatoes were soggy and unpleasant. I was disappointed as the reviews were good but my experience was not worthy of anything other than 2 stars."
Martin France (Marty),Good food and service. Reasonably priced drinks.
DOUAA SAMAD,"Best lebanese food ever, can't skip my visit to beirut without passing by the restaurant. The food is great. I usually order batata harra, taouk platter,  fattoush, hommos, eggplant fatteh."
ole sag,"Great place, great value for your money. Very busy, but the staff works efficiently. Great Fattoush and lentil kibbeh. Clear recommendation!"
Aiman Fawzi,"Amazing environment and place, casual but elegant, tasty and not expensive"
Hayl Al-Salehi,"The place is nice and the food is decent. However, it is usually full and the food takes a bit to be ready"
Raghdi Bizri,"The place was dirty, with uncleaned tables and floors. Not what I expected for a popular Beirut restaurant."
Kurt Vinion,A fantastic restaurant with excellent food - we ate here twice it was so good!
waleed ashi,"One of the best restaurants I experienced in Beirut.  The food is beyond amazing.  The service is reasonable.  The price is very reasonable for the quality.  I recommend it to everyone.  What reminded me most of it was Rich Café in downtown Cairo.  With the difference, of course.  I advise everyone to visit it"
Tarek Khadra,Good food nice service great location
Matthew Smith,Really good Lebanese food and great portion sizes with a cool vibe.
Johnny Waked,"Good food, service and ambience."
Salma Abdo,"Excellent quality and very good prices. The restaurant itself is lovely whether sitting inside near the books or outside on the terrace. Service is fast and the staff very friendly. If you’re ever in Beirut, you must eat at T Marbuta!"
Tarek nassar,Nice food and nice atmosphere. Service is good but we had to stay for a while on the waiting list
Myriam Sakkal,Lebanese food. Nice decor but the taste isnt very satisfying.
Razzak Ansari,"The place is cozy,  the food good,  and price very reasonable."
Alia Ajami,Really nice and cosi place! Food is amazing and the staff polite and friendly!!
Ayham Kato,"The place is ok, maybe for drinking coffee and tea, but not for eating at all, as the food is not good.  The food was cold and very ordinary. they gave us the plates with  water spots in them, it felt like there is lack of hygiene and most importantly, the unfriendly attitude of the staff compared to the other Lebanese restaurants, maybe because the staff is small and the place is somehow crowded.

I do not think that I will visit him again and I do not recommend visiting him. I read previous reviews about this place a year or more ago about these problems and they are still going on and it seems that the owner of the restaurant does not care."
victorien sukarieh,"the food is just amazing, can't get enough of that rice dish"
Amer Omar,"This place has become an icon of Hamra Street. Great cultural hub, great local food, lovely staff. Unpretentious and for the service they offer fairly priced. Definitely a good hangout spot."
Sana C,Excellent food. Creative twists on old favorites. Every thing was very tasty.Wish we had taken pictures of the feast we had. Nice setting with an outdoor patio. Would definitely go again.
John Qattar,"First time here as ‘Johnny Foreigner’ with my Lebanese wife. You can always tell how good a restaurant is by the presence of lots of locals and, by Jove, they come in their droves. We sat outside which was covered and with thick cellophane side panels to keep out the cold. This is an inexpensive restaurant by Beirut standards although the food quality is top-notch.

Positives:  Great Lebanese food, efficient service, pleasant ambience with lots of students, academics and residents. Am fussy about my Kofte and my serving preference was indulged. The chef also takes his french fries VERY seriously - perfect! Tables sufficiently well-spaced outside to allay fears of catching the Coof. Highlight for me was the Kaak Hallawa (pictured below) - Lebanese bread filled with a sweet sesame paste. Perfect on a late and cold Friday afternoon.

Negatives - little bit Smokey outside as we were fairly well enclosed due to the cool weather. Couch style seating a bit low for me as a hulking Anglo-Saxon.

Summary: This is a conveniently-located restaurant in Hamra serving honest, delicious Lebanese food at reasonable prices. You won’t be disappointed."
Anand Sudhakaran,"Food was awesome. Pot rice with chicken was superb. Very busy restaurant, Crowded  luckily got seat."
Tareq D,Extremely slow service despite the restaurant being overcrowded. The waiters seemed overwhelmed and inattentive.
Fluid “G.O” Mechanics,"Clean, good choices, sometimes they overdo the salt"
sharbel hajj,"friendly employees, good and affordable food"
Moe Sleiman,Great spot for good Lebanese food.
Akram Ateefa,It is Amazing Place . It is very good service
Mohammed Shaaban,"Nice place,tasty,starters are amazing,must try kofta"
Mohamed oujeil,The fish was overcooked and dry. It lacked seasoning and flavor.
nour sleiman (Nour),Friendly staff good tasty home made style dishes .
Wesley,Very convenient and the service is fast. Food is great for the price.
Kirill Vasilyev,Loud groups made the atmosphere chaotic. Couldn't enjoy our meal in peace.
Hasan Salame,Had to ask multiple times for water. The restaurant was hectic and disorganized.
Sergeo Armani,"Ordered a vegetarian platter, but it was mostly just filler foods. Overhyped place."
Steve N,"Hidden in the back of the mini mall. Go straight back past the Starbucks, and look for the last door on the left. It's next to an electronics shop and doesn't have a visible sign on the door. Great food and amazing vibes here."
Cori O,Delicious food nice atmosphere and good service.
ENGINEER Eng.Asim,Great taste and nice area 👌 …
Amal Cavalcanti,"Very noisy atmosphere, couldn't enjoy a conversation. The hummus lacked flavor and seemed pre-made."
Anna Sanders,Everything is sooo good.  As a vegetarian I love the pumpkin kibbe!
Marie Brøndgaard,"Super lovely café. Good food, WiFi and amazing staff."
Jean-Claude Assaker,Good deal to experience oriental food!
Rand M,"Delicious food
Great service"
NC,"Fish was not fresh, which is unacceptable for a coastal city like Beirut."
Farah Islambouli,"yummi lebanese food, authentic oriental music that puts you in a good mood and the place is cosy. ps: they have a library!"
Nicolas Cavalli,Very delicious food. But only cash.
Rachel Landau,"The shawarma had too much garlic sauce and the meat was dry. Also, the place was overly packed."
Socrat Mezher,Love the food it's a great place to be with your friends
Karim D.,"I like this place really,  the best mezza in Beirut but today the food was really salty and the chicken half cooked.."
Hasan Jouni,A great taste of lebanese food and the location is awesome and cozy 😍 …
hind akil haidar,Make sure to try the batata harra and the fatet beytenjen. Trust me. Abd their service has improved
Fadi Hamouch,"Best ever restaurant excellent food friendly staff, I love it."
Fares Halabi,"Ordered the lamb chops, but they arrived overcooked and tough. The service was slow, even though the restaurant wasn't that busy."
Tobias Mörike,"Staff seemed disinterested and the falafel was greasy. Also, too smoky inside for a non-smoker."
Joe Daou,"Service lacked personal touch, felt very rushed and impersonal. The kafta was dry and lacked flavor, not what I expected from a Lebanese grill."
Thijs Sicking,"A hidden treasure if you ask us! In the shadow of the big Starbucks is Place. With both tables inside and outside on the courtyard it has plenty of places, but nevertheless gets (almost) fully booked. Understandable when you taste the delicious Lebanese dishes. Very good quality for a more than reasonable price! Definitely worth a visit when in Beirut, looking for a nice place to experience the Lebanese kitchen."
Ziad Suidan,"The arak was diluted, not the quality expected in Beirut. The overall experience was disappointing."
Robin Schottelndreier,The food was delicious. Best hallumi I ever had. The garden was beautiful and the servers very nice.
Zeina Saydi,Best restaurant in town great food in a nice atmosphere. I highly recommend it.
Samer Alhamwi,"poor value for the money
location is good
staff are cold in general
If you are coming to drink wine NOT to eat this is the right place.
I do not recommend it for families only singles."
chadi dalida,"The shawarma plate was disappointing, with the meat being both dry and flavorless."
Mitri Karam,The lamb was overcooked and tough. Hardly the quality you'd expect in Beirut.
Gohary936,Falafel sandwich was bland and the bread was stale. Not what I expected from a Lebanese eatery.
Lara Ghrawy,Nice place 👍🏻 I just love it! I wish it was bigger with more tables 🤷🏼‍♀️ …
Islam Diaa,"Great restaurant, very nice and cozy. Their salads and appetizers are amazing. The chicken shawerma can improve, not very different from the one you make at home. Red Tawook is amazing. Their waiters need to pay more attention also when the restaurant is busy. In brief, I still recommend this whenever you are in Hamra."
Yalcin Kaya,"The food was very delicuous, a bit salty for me. Especially I liked shakshouka with meat. It was a littlr hard to find. We passed by the door, but couldn't understand it was Place."
Daniel Manrique Lopez,"Great place, great food and great staff"
Shadi Diab,Waiter got our order wrong and didn�t apologize. Very chaotic environment.
Khalid Kalash,Nice ambience. Cozy and secluded. I tried one dish and it was nice
Carla Marinoni,Excellent food and atmosphere and very nice staff
Nada Awada,cosy small restaurant.Good Lebanese food and service.Reasonable prices
robert ianjim,Great place to have some mezze. It is a bit hard to find as the entrance is pretty small and a bit hidden but it is really rewarding. I recommend it for breakfast!
Soha Daroub,"Despite its popularity, the restaurant failed to provide a comfortable dining environment."
Kristen Potter,"Chicken shish was chewy and the drinks were overpriced. Plus, the place feels too cramped."
Miled Rizk,i ate there like 4 times. i liked the quality of the Lebanese traditional food. the prices are reasonable too.
Myra Zeyneddine,The loudness of the restaurant made it hard to have a conversation. The ambiance was more stressful than relaxing.
Daniel Rosie,"Small place quite difficult to find. It have an inside terrace which is very simple and sprouted by walls. Food was ok but not exceptional, I belive the place is a bit overrated. Yes the food is not bad but not exceptional, price is on the high side for the location and the quality"
"Soltan Hassanieh, CFE, CACM","First, the food really is good. The hummus with garlic and hot peppers is amazing. The mixed green salad was ample to share and the vinegar mix on it light and perfect. Eggplant hot appetizer was amazing.
Vegan friendly.
The only drawback was that wrong dishes placed on our table. We started in on them wondering if it was an “every table gets this” item and just as quick they were whisked away. I hope the fried cheese plate with one piece partially eaten wasn’t served to whomever ordered it!
I’ll be back."
Post-training Cravings,"One of our favorite lebanese relaxed places. perfect for a relaxed atmosphere or a casual date. friendly staff, with a place full of books and arabic authentic music.
favorite dishes are by far, fatte bi batenjen, batata harra, soujouk and makanek with debs el remmen. for drinks i love their iced tea peach which is not refill and has its own blend."
Marwan Trad,"The place was overcrowded, and we felt cramped. The vegetarian options were limited and not satisfying. Left feeling like it wasn�t worth the price or the wait."
Zeinab Dirani,"I ordered the daily dish (crispy fish)
Delievery came fast and the food was hot
The fish, fries, and sauce are very delicious. The portion is decent and the value for price is very good.
I highly recommend daily dishes though i love their side dishes (batata harra and hummus)"
Fady T,Nice place and delicious food👍 …
Diana Maatouk,"I've didn't visited Place but i order food via delviery, the food is very delicious &  the portions are big :)"
Makram Ghais,"Great atmosphere, Amazing food, and a Lovely place!"
Raphael Z,Cozy place with a gorgeous garden behind. Good start to get to know meze
Wael Safa,Lovely staff and food. Make sure to order Fattouche and Hot potato
Christina Abboud,"Delicious authentic Lebanese food. Casual, crowded until late, for a reason. Hidden gem in Hamra."
Doctor A.S.,"Delicious breakfast in a cozy place . Excellent staff,  fair prices."
Adib Dorra,"This place is keeping its traditions since so many years, and it's doing great. Food tastes so good, the environment is so friendly and the staff are decent and well trained.
You have to try their tabbouleh, chilly fries, wings, escalope, and their hummus with meat.
The outdoor decorations make u feel like sitting in an old restaurant in the village, the indoor area includes w 2 floors library with a reading area and a bar."
Ibrahim Fadol,Amazing and cozy atmosphere with delicious food and relaxing music. A must visit in Beirut
Joshua Knight,"We had an exceptionally splendid evening at this restaurant! Everything we ate was scrumptious, although indeed in medium portions, super fast service which was also kind and generous. They have fairly good Internet here. Choose either the first or the second. The Wi-Fi password is 123456123456. The restroom was nice but I ended up throwing away a few towels and pushing down in the wastebasket to make it look Nice. I was still able to wash my hands with soap and water afterwards to get clean for my scrumptious dinner :-) we ate on a Thursday evening at about 6:45 PM and the place was packed. We ate outside and there were no mosquitoes and it was delightful on this October evening. I would highly recommend this restaurant. Peace, Joshua"
Emir Diab,"The best of the best, super friendly waiters and amazing atmosphere.

I eat there everyday."
Irina Catescu,"Amazing lebanese food, the mezze are super fresh and delicious.
We had tabbouleh, potatoes, hummus, labneh and tomato kibbe and they were delicious.
Definitely recommend it if you’re in Hamra, Beirut."
ΣΠΥΡΟΣ «ΤΡΑΓΟΥΔΟΣΑΥΡΟΣ» ΠΑΠΑΔΟΠΟΥΛΟΣ,Waitstaff seemed annoyed when asked for menu recommendations. Not a pleasant experience.
Rami Don't stalk me,"Very relaxing vibe, suitable for chilling out and talking to friends over a cup of coffee. The drinks were great. I also really like the library upstairs. It adds a very unique touch to the café and is neatly organized.

However, it literally took me 10 minutes to locate the entrance because the sign wasn't that big and it was literally inside the café. There needs to be a bigger sign or something to indicate the enterance. It'd also draw much more attention to the place.

Nevertheless, I would still recommend it."
Jay Nee,"A wonderful restaurant and a very nice atmosphere. friendly staff, surprisingly the food was super good, very authentic and good prices not so expensive at all."
Elias Chnais,"I think their food quality went down over the years, but it is still a nice place to hang out with friends."
Maya Rizk,Used to be tastier service is slow
Rudy,"An excellent Lebanese twist and library .
A place where you can spend a full day"
Nader Farfour,"The kebbe nayyeh was not fresh, which is concerning for a raw dish."
Nore Viewz,"Food is delicious in this cozy little place off of Hamra. The humus is great and they have ""tabekh"" daily specials at a decent price."
Ali Mahmoud,A place that succeeded to keep its original taste and same great service and value throughout the many crises and events that happened in Lebanon. It is one of my favorite.
Jasmina Najjar,Delicious vegetarian and vegan options. Nice cold and hot mezze selection. Good main dishes for meat and chicken lovers. Laid back ambiance. Super causual dining experience. Indoor and outdoor seating spaces are pleasantly decorated.
mario haddad,"This restaurant offers lebanese cuisine, with a traditional atmosphere. The food is tasty and delicious. A place to visit in hamra for sure"
Joe CHAHINE,Very cozy nice Lebanese cafe with amazing food
Ziad Zeytoun,Arabic coffee was bitter and poorly made. Disappointing for a Lebanese establishment.
Hussein Al Haj Hassan,Very Good food but not very comfortable seats.
issam rhail,It was a great experience to eat there 👍👍 …
M D,"While the food was good, the staff behavior was totally terrible. I will hardly visit the place again."
I van Ellie,"Such good food! Probably the best food I’ve had in Beirut. They have a great outside space too. However, it’s a bit difficult to find."
Kerem,"Good food, good service. I loved it here."
‫عباس أبو الخير (‪Abbas‬‏)‬‎,"Good restaurant but uncomfortable chairs, good service."
Murtaza Khomusi,This place is absolutely otherworldly. You have to try the kababs and their famous potatoes!
شربل كرم Charbel Karam,"Restroom facilities were dirty, not maintained well. Reflects poorly on the restaurant's hygiene."
Toufic Chehab,"Waitstaff were not knowledgeable about the menu items, making it hard to make informed choices."
dref mail,"Nice place, nice food, nice staff, nice music, fair prices. What else could we want?"
Nesteren Genc,The best authentic Libanesen restaurant we have been so far! The waitresses and service and atmosphere and food.. all in all just AMAZING!
Mohamed Ahmed,Fries tasted like they were cooked in old oil. The restaurant�s popularity is baffling.
levi f,Amazing food at a great price!! Unbelievably varied selection of vegan options that left us very happy and full. We highly recommend this place :) This would have been 5 stars but the staff can be quite forgetful with orders and we found it quite difficult to get their attention at times.
Ali Hasan,You feel as if you are ar home..food is soo tasty and enviroment is very calm and cozy
Alaa Salam,Where tradiotional Lebanese cusine meets with traditional Lebanese atmosphere. Friendly staff and divine company!
Unique Care,"The baklava was stale, seemed like it wasn't made fresh. Disappointed for a Lebanese restaurant."
Saleem Khoury,"Excellent food, great service, very good prices"
Mohamad Shahabi,The grilled vegetables were burnt and the overall presentation of food was poor.
Sally Zakhia,Cool place in the middle of hamra. Got a towny village type to it. But the service could be better even though the food is really good.
elie chiha,"Awesome restaurant in the heart of hamra.
tasty and generous portion."
Ghassan Fakhri,Amazing food.. hidden gem
Racil Charara,Great place to try lebanese cuisine in a friendly atmosphere
Bassam Alame,Cosy place a very tasty food is served all ages
Tala Halabi,"The fries tasted like fish and the grilled chicken wasn't fully cooked! Even when I informed the waiter, he brought it back fully cooked yet the chicken smelled too weird!! The only good thing on the menu was the fattoush."
I K,Good food and atmosphere
Youmna Yasser,The coffee was lukewarm and tasted burnt. A letdown for a renowned Beirut cafe.
Davud Akhundzada,Great way to start Lebanon 🇱🇧 trip!😍 …
Amgad Husein,"good food, interesting crowd, but the waiters could be more friendly indeed."
Dabi Adesoye,"A bit tricky to find as the signs were in Arabic and I don’t speak/read Arabic(that’s on me not them). Great food, really good prices. The decor was really lovely as well. The staff seemed somewhat indifferent though, but not enough to deter me from recommending it or going back."
Fatima Nasser,Unique and Popular restaurant. Fresh and tasty meals at attractive oriental atmosphere.
